Date,Open,High,Low,Close,Adj Close,Volume,Change
2020-08-06,212.339996,216.369995,211.550003,216.350006,214.770050,32656800,0.01888485483441374
2020-08-07,214.850006,215.699997,210.929993,212.479996,210.928314,27820400,-0.011030998062899786
2020-08-10,211.669998,211.880005,206.350006,208.250000,206.729202,36716500,-0.016157216574452807
2020-08-11,207.160004,207.649994,203.139999,203.380005,201.894775,36446500,-0.018246760605391644
2020-08-12,205.289993,210.279999,204.750000,209.190002,207.662354,28013100,0.018997560197685733
2020-08-13,209.440002,211.350006,208.149994,208.699997,207.175903,22588900,-0.003533255313853542
2020-08-14,208.759995,209.589996,207.509995,208.899994,207.374451,17958900,0.0006706217826839327
2020-08-17,209.600006,211.190002,208.919998,210.279999,208.744370,20184800,0.0032442413193442183
2020-08-18,210.529999,212.360001,209.210007,211.490005,209.945541,21336200,0.004559948722557078
2020-08-19,211.490005,212.100006,209.250000,209.699997,208.671814,27627600,-0.00846379477838681
2020-08-20,209.539993,215.000000,208.910004,214.580002,213.527893,26981500,0.024052730592579515
2020-08-21,213.860001,216.250000,212.850006,213.020004,211.975540,36249300,-0.003927789189526895
2020-08-24,214.789993,215.520004,212.429993,213.690002,212.642258,25460100,-0.005121239516963982
2020-08-25,213.100006,216.610001,213.100006,216.470001,215.408630,23043700,0.01581414784192915
2020-08-26,217.880005,222.089996,217.360001,221.149994,220.065674,39600800,0.01500821059738814
2020-08-27,222.889999,231.149994,219.399994,226.580002,225.469070,57602200,0.016555265003164267
2020-08-28,228.179993,230.639999,226.580002,228.910004,227.787643,26292900,0.0031992769848143104
2020-08-31,227.000000,228.699997,224.309998,225.529999,224.424194,28774200,-0.00647577533039646
2020-09-01,225.509995,227.449997,224.429993,227.270004,226.155685,25725500,0.007804572032383738
2020-09-02,227.970001,232.860001,227.350006,231.649994,230.514191,34080800,0.01614244411044239
2020-09-03,229.270004,229.309998,214.960007,217.300003,216.234558,58400300,-0.052209189127069566
2020-09-04,215.100006,218.360001,205.190002,214.250000,213.199524,59664100,-0.003951678178939742
2020-09-08,206.500000,210.029999,202.199997,202.660004,201.666336,52924300,-0.018595622276029122
2020-09-09,207.600006,214.839996,206.699997,211.289993,210.254013,45679000,0.01777450333985059
2020-09-10,213.399994,214.740005,204.110001,205.369995,204.363037,35461500,-0.03762886235132698
2020-09-11,207.199997,208.630005,201.240005,204.029999,203.029633,33620100,-0.015299218368231891
2020-09-14,204.240005,209.199997,204.029999,205.410004,204.402847,30375800,0.005728549605156884
2020-09-15,208.419998,209.779999,206.929993,208.779999,207.756332,21823900,0.0017272862654955554
2020-09-16,210.619995,210.649994,204.639999,205.050003,204.044617,26328100,-0.026445694294124283
2020-09-17,200.050003,204.330002,199.960007,202.910004,201.915115,34011300,0.014296430677883982
2020-09-18,202.800003,203.649994,196.250000,200.389999,199.407455,55225300,-0.01188364873939383
2020-09-21,197.190002,202.710007,196.380005,202.539993,201.546921,39839700,0.02713114734894124
2020-09-22,205.059998,208.100006,202.080002,207.419998,206.402985,33517100,0.011508826797121032
2020-09-23,207.899994,208.100006,200.029999,200.589996,199.606476,30803800,-0.03516112655587657
2020-09-24,199.850006,205.570007,199.199997,203.190002,202.193741,31202500,0.016712513884037536
2020-09-25,203.550003,209.039993,202.539993,207.820007,206.801041,29437300,0.020977666111849678
2020-09-28,210.880005,212.570007,208.059998,209.440002,208.413101,32004900,-0.0068285421370319985
2020-09-29,209.350006,210.070007,206.809998,207.259995,206.243774,24221900,-0.00998333384332458
2020-09-30,207.729996,211.979996,206.539993,210.330002,209.298721,33829100,0.012516276176118578
2020-10-01,213.490005,213.990005,211.320007,212.460007,211.418289,27158400,-0.004824572466519012
2020-10-02,208.000000,210.990005,205.539993,206.190002,205.179031,33154800,-0.008701913461538497
2020-10-05,207.220001,210.410004,206.979996,210.380005,209.348495,21331600,0.015249512521718476
2020-10-06,208.820007,210.179993,204.820007,205.910004,204.900406,28554300,-0.013935460695583721
2020-10-07,207.059998,210.110001,206.720001,209.830002,208.801178,25681100,0.013377784346351632
2020-10-08,210.509995,211.190002,208.320007,210.580002,209.547516,19925800,0.00033255903122321543
2020-10-09,211.229996,215.860001,211.229996,215.809998,214.751862,26458000,0.02168253603527033
2020-10-12,218.789993,223.860001,216.809998,221.399994,220.314453,40461400,0.011929252175623876
2020-10-13,222.720001,225.210007,220.429993,222.860001,221.767288,28950800,0.0006285919512007131
2020-10-14,223.000000,224.220001,219.130005,220.860001,219.777100,23421700,-0.00959640807174883
2020-10-15,217.100006,220.360001,216.009995,219.660004,218.582993,22733100,0.011791791475123123
2020-10-16,220.149994,222.289993,219.320007,219.660004,218.582993,26057900,-0.002225709804016647
2020-10-19,220.419998,222.300003,213.720001,214.220001,213.169662,27625800,-0.02812810569030128
